axis1,axis2,axis3,axis4,axis5
139.8291,230.2892,241.585,84.30717,241.7206
140.0568,230.3032,237.9247,91.9837,243.6657
140.0568,230.3032,237.9247,91.9837,243.6657
140.0568,230.3032,237.9247,91.9837,243.6657
140.0568,230.3032,237.9247,91.9837,243.6657
140.0568,230.3032,237.9247,91.9837,243.6657
140.3239,230.3891,234.2546,100.1078,245.4053
140.3239,230.3891,234.2546,100.1078,245.4053
140.3239,230.3891,234.2546,100.1078,245.4053
140.3239,230.3891,234.2546,100.1078,245.4053
140.5429,230.4646,231.0223,107.9329,247.0905
140.5429,230.4646,231.0223,107.9329,247.0905
140.5429,230.4646,231.0223,107.9329,247.0905
140.669,230.4827,228.4931,114.8132,248.6864
140.669,230.4827,228.4931,114.8132,248.6864
140.669,230.4827,228.4931,114.8132,248.6864
141.0864,230.7472,224.976,123.1783,250.8221
141.0864,230.7472,224.976,123.1783,250.8221
141.0864,230.7472,224.976,123.1783,250.8221
141.0864,230.7472,224.976,123.1783,250.8221
141.508,231.046,222.1079,131.2906,252.7161
141.508,231.046,222.1079,131.2906,252.7161
141.8971,231.3265,219.923,138.4347,254.239
141.8971,231.3265,219.923,138.4347,254.239
141.8971,231.3265,219.923,138.4347,254.239
142.2485,231.5776,218.2547,144.5559,255.4522
142.2485,231.5776,218.2547,144.5559,255.4522
142.2485,231.5776,218.2547,144.5559,255.4522
142.2485,231.5776,218.2547,144.5559,255.4522
142.5471,231.7941,217.0263,149.8427,256.4418
142.5471,231.7941,217.0263,149.8427,256.4418
142.5471,231.7941,217.0263,149.8427,256.4418
142.5471,231.7941,217.0263,149.8427,256.4418
142.7793,231.9894,216.4952,144.6327,250.8111
142.7793,231.9894,216.4952,144.6327,250.8111
142.9541,232.1794,216.3066,139.1538,245.9267
142.9541,232.1794,216.3066,139.1538,245.9267
143.1509,232.3969,216.2966,133.458,241.397
143.1509,232.3969,216.2966,133.458,241.397
143.1509,232.3969,216.2966,133.458,241.397
143.3973,232.6607,216.3471,127.4739,236.9691
143.3973,232.6607,216.3471,127.4739,236.9691
143.6989,232.9774,216.377,121.3966,232.5991
143.6989,232.9774,216.377,121.3966,232.5991
143.6989,232.9774,216.377,121.3966,232.5991
143.5701,232.9714,217.7987,123.8789,234.3591
143.5701,232.9714,217.7987,123.8789,234.3591
143.5701,232.9714,217.7987,123.8789,234.3591
143.3209,232.785,219.2449,125.1041,236.3538
143.3209,232.785,219.2449,125.1041,236.3538
143.3209,232.785,219.2449,125.1041,236.3538
142.9405,232.4636,220.9993,126.013,238.8269
142.9405,232.4636,220.9993,126.013,238.8269
142.9405,232.4636,220.9993,126.013,238.8269
142.9405,232.4636,220.9993,126.013,238.8269
142.423,232.0374,223.3419,127.0044,241.7884
142.423,232.0374,223.3419,127.0044,241.7884
142.423,232.0374,223.3419,127.0044,241.7884
142.423,232.0374,223.3419,127.0044,241.7884
141.8232,231.5573,226.2311,128.1659,244.7334
141.8232,231.5573,226.2311,128.1659,244.7334
141.8232,231.5573,226.2311,128.1659,244.7334
141.2298,231.1478,228.3867,117.7306,242.5185
140.7682,230.8327,230.655,108.0676,241.1933
140.7682,230.8327,230.655,108.0676,241.1933
140.4962,230.6415,232.5968,99.31648,239.9819
140.4962,230.6415,232.5968,99.31648,239.9819
140.4117,230.5889,234.0097,91.3565,238.2579
140.4117,230.5889,234.0097,91.3565,238.2579
140.4789,230.6639,234.9946,84.09918,235.7119
140.4789,230.6639,234.9946,84.09918,235.7119
140.4789,230.6639,234.9946,84.09918,235.7119
